1.00612712	1.00389043	0.98872209	1.23444531	0.00858501	0.04005628	0.00002978	0.00050852	0.00000078	0.00005614	7.04288982	6.02334260	0.00000564	0.00003694	0.14076269	0.55174773	0.22543356	0.24084543	0.21069852	0.19732498
1.02978685	1.02788528	3.15632741	2.69308623	0.02546208	0.06889698	0.00004036	0.00038752	0.00000114	0.00004041	12.35744219	7.19519698	0.00003403	0.00025729	0.19768204	0.70717131	0.69284370	0.69655051	0.64861294	0.64487973
1.14087902	1.15425672	7.41739948	7.13534504	0.10500148	0.31999315	0.00011087	0.00117873	0.00000297	0.00009948	17.11318531	19.62236419	0.00034681	0.00131842	0.37268257	1.30322939	1.96077711	1.96390559	1.79993766	1.85929933
1.02883704	1.02820429	3.63365667	3.19415590	0.03147874	0.07788681	0.00004715	0.00038776	0.00000148	0.00004382	15.43255565	12.33845149	0.00006670	0.00025681	0.24797196	0.76574886	0.91967119	0.85373161	0.88025183	0.79818493
1.07167691	1.08198500	2.98887503	3.23189330	0.02493634	0.09541491	0.00004070	0.00053676	0.00000064	0.00003169	8.57341528	7.57389497	0.00018784	0.00069789	0.25648440	0.92509217	0.87308979	0.91281377	0.85596030	0.89497082
1.02534493	1.03109438	1.94995447	1.68870186	0.02662765	0.07075366	0.00009155	0.00087053	0.00000259	0.00012355	9.22810437	6.18656628	0.00003159	0.00034610	0.22500699	0.91359696	0.36350546	0.41156032	0.33344431	0.37371151
1.03299903	1.03186118	2.17929072	1.97838502	0.02802748	0.09189455	0.00009350	0.00104680	0.00000339	0.00015574	7.23099319	8.25488947	0.00009539	0.00013904	0.30766073	0.90929284	0.51228109	0.44152634	0.46579300	0.32975460
1.11829093	1.12771527	6.93903601	7.79464583	0.12562587	0.46902228	0.00019677	0.00257895	0.00000563	0.00027143	8.94632740	7.89400690	0.00056713	0.00218135	0.57609726	2.22409172	2.04329301	2.24539045	1.99302578	2.17089255
1.02584959	1.02827734	0.70241643	0.97486866	0.00542259	0.03439908	0.00002821	0.00064519	0.00000065	0.00006425	6.15509755	5.14138670	0.00001944	0.00006384	0.18132432	0.73466093	0.19360087	0.21660218	0.18861721	0.20961659
1.07249847	1.07439579	2.23061115	1.93533413	0.01773155	0.03928406	0.00003186	0.00024714	0.00000086	0.00002831	11.79748315	9.66956210	0.00002652	0.00011471	0.16203441	0.57019858	0.50095691	0.50248780	0.43769020	0.44955057
1.08921902	1.08747457	1.90429500	2.29705453	0.01475635	0.07336650	0.00003462	0.00057681	0.00000072	0.00007841	6.53531412	8.69979657	0.00011716	0.00023355	0.20813755	0.81446800	0.49286658	0.57470096	0.45150677	0.53859535
1.04036136	1.03243338	2.25238427	1.88001078	0.02435422	0.06226491	0.00006370	0.00058634	0.00000184	0.00004927	9.36325221	6.19460027	0.00005435	0.00034036	0.24849628	0.82232729	0.52776922	0.48327426	0.48355911	0.45609912
1.08869889	1.09323182	1.34939523	1.35887342	0.01462073	0.05136326	0.00006549	0.00080877	0.00000165	0.00006910	3.26609666	4.37292728	0.00019050	0.00034130	0.31123980	1.06617590	0.38603573	0.37557502	0.38007701	0.36912168
1.08688635	1.08305236	3.21474586	3.81371446	0.06260713	0.27299677	0.00023041	0.00330753	0.00000835	0.00050075	7.60820442	7.58136654	0.00045766	0.00078205	0.56634262	2.09056429	0.85485641	0.95608322	0.84061608	0.94401360
1.00234847	1.00294837	0.85273199	0.68161728	0.00830786	0.01644394	0.00005829	0.00037960	0.00000244	0.00006649	5.01174233	4.01179349	0.00002242	0.00009413	0.21868895	0.65827442	0.17313724	0.15809579	0.15238395	0.13235728
1.02370519	1.02104339	1.78964791	1.42701469	0.01537442	0.05444228	0.00004887	0.00060673	0.00000143	0.00007550	6.14223115	3.06313016	0.00009249	0.00029997	0.25322920	0.80770291	0.44257926	0.40225368	0.40061193	0.38257979
1.07528367	1.07961827	4.39460627	4.23584114	0.04535131	0.15242324	0.00006026	0.00069797	0.00000126	0.00004968	13.97868765	11.87580097	0.00015915	0.00080126	0.27645816	0.95751726	1.15592039	1.16073525	1.11378854	1.12957761
1.06081430	1.05978999	4.04910433	3.21155315	0.03244154	0.06033401	0.00003774	0.00023814	0.00000088	0.00002466	20.15547170	15.89684990	0.00002365	0.00022387	0.16573787	0.56972682	0.79143715	0.80015955	0.73384750	0.76003992
1.20564869	1.20441188	5.56573236	5.90109381	0.06789677	0.26539277	0.00009387	0.00118341	0.00000217	0.00011799	9.64518956	15.65735439	0.00033707	0.00075680	0.40684820	1.33212939	1.63491027	1.65872288	1.57575318	1.61839896
1.06349952	1.07828762	5.32884582	5.20976669	0.07988533	0.37984910	0.00013094	0.00213242	0.00000440	0.00026476	11.69849474	8.62630094	0.00021698	0.00106526	0.41529887	1.41011580	1.40751817	1.39322515	1.34716209	1.32272285
1.00776438	1.00929827	2.35924389	2.60904052	0.02090521	0.10242377	0.00005262	0.00087698	0.00000166	0.00011534	8.06211505	8.07438613	0.00004254	0.00019544	0.22672488	0.85340741	0.50034951	0.55196038	0.46386154	0.49344835
1.10318377	1.10718670	4.24802787	3.56033054	0.04723842	0.11244703	0.00008477	0.00068941	0.00000225	0.00005488	9.92865397	8.85749358	0.00022806	0.00090868	0.36247178	1.13616259	1.12216787	1.02896728	1.09250158	1.00278669
1.02471116	1.02478919	1.71511489	1.94700344	0.01029998	0.04238277	0.00002009	0.00026039	0.00000058	0.00003087	9.22240042	11.27268111	0.00001435	0.00006263	0.13025877	0.46578528	0.37089466	0.41979727	0.32721519	0.36289262
