23,59
24,59
25,60
26,60
27,61
28,61
29,61
30,62
31,62
32,62
33,62
34,62
35,62
36,63
37,63
38,63
39,63
40,63
41,63
42,63
43,63
44,63
45,63
46,62
47,62
48,61
49,61
50,60
51,60
52,59
53,58
54,58
55,57
56,56
57,56
58,55
59,54
60,53
61,52
62,51
63,50
64,50
65,49
66,48
67,47
68,46
69,45
70,44
71,43
72,42
73,41
74,40
75,39
76,38
77,37
78,36
79,35
80,34
81,33
82,32
82,31
83,30
84,29
85,28
86,27
87,26
88,25
89,25
90,24
91,24
92,23
93,23
94,23
95,23
96,22
97,22
98,22
99,22
100,22
101,22
102,22
103,22
104,22
105,22
106,22
107,22
108,22
109,22
110,22
111,22
112,22
113,22
114,23
115,23
116,23
117,23
118,23
119,24
120,24
121,24
122,25
123,25
124,25
125,26
126,26
127,26
128,26
129,26
130,26
131,26
132,27
133,27
134,27
135,27
136,27
137,28
138,28
139,28
140,29
141,29
142,29
143,30
144,30
145,30
146,30
147,31
148,31
149,31
150,31
151,32
152,32
153,32
154,33
155,33
156,33
157,34
158,34
159,34
160,35
161,35
162,35
163,35
164,36
165,36
166,36
167,36
168,36
169,37
170,37
171,37
172,37
173,37
174,37
175,36
176,36
177,36
178,36
179,36
180,36
181,36
182,36
183,36
184,35
185,35
186,35
187,35
188,35
189,35
190,34
191,34
192,34
193,34
194,34
195,34
196,34
197,34
198,34
199,34
200,34
201,34
202,34
203,34
204,35
205,35
206,35
207,35
208,36
209,37
210,37
211,37
212,38
213,39
214,40
215,41
216,42
217,43
218,44
219,44
220,45
221,46
222,47
223,48
224,48
225,49
226,49
227,49
228,49
229,50
230,50
231,51
232,51
233,51
234,51
235,51
236,51
237,51
238,51
239,51
240,51
241,51
242,51
243,52
244,52
245,52
246,52
247,52
248,52
249,52
250,52
251,52
252,52
253,52
254,52
255,52
256,53
257,53
258,53
259,53
260,53
261,54
262,54
263,54
264,54
265,55
266,56
267,56
268,57
269,58
270,59
271,59
272,60
