22,49
23,49
24,49
25,50
26,50
27,50
28,50
29,50
30,51
31,51
32,51
33,51
34,51
35,51
36,51
37,52
38,52
39,52
40,52
41,52
42,52
43,52
44,51
45,51
46,51
47,51
48,51
49,51
50,51
51,51
52,51
53,51
54,52
55,52
56,52
57,52
58,52
59,52
60,52
61,52
62,52
63,52
64,52
65,52
66,53
67,53
68,53
69,53
70,53
71,53
72,53
73,53
74,53
75,53
76,53
77,53
78,53
79,53
80,53
81,52
82,52
83,52
84,52
85,52
86,52
87,52
88,52
89,52
90,52
91,52
92,52
93,53
94,53
95,52
96,52
97,52
98,52
99,52
100,52
101,52
102,52
103,52
104,51
105,51
106,50
107,50
108,50
109,49
110,49
111,48
112,47
113,47
114,46
115,46
116,45
117,44
118,43
119,43
120,42
121,41
122,40
123,40
124,39
125,38
126,38
127,37
128,36
129,35
130,35
131,34
132,34
133,33
134,32
135,32
136,31
137,31
138,30
139,30
140,29
141,29
142,28
143,28
144,28
145,27
146,27
147,26
148,26
149,26
150,25
151,25
152,25
153,25
154,24
