49,127
50,126
51,125
52,124
53,123
53,122
54,121
55,120
55,119
56,118
57,117
58,116
58,115
59,114
60,113
60,112
61,111
62,110
63,109
64,108
64,107
65,106
66,105
67,104
68,103
69,102
70,101
71,100
72,99
73,98
74,97
75,96
76,95
77,94
77,93
78,92
79,92
80,91
81,90
82,89
83,88
84,88
85,87
86,86
87,86
88,85
89,85
90,84
91,84
92,83
93,83
94,82
95,81
96,81
97,80
98,80
99,79
100,79
101,79
102,78
103,78
104,77
105,77
106,76
107,76
108,75
109,75
110,75
111,74
112,74
113,74
114,73
115,73
116,72
117,72
118,72
119,71
120,71
121,71
122,70
123,70
124,69
125,69
126,68
127,68
128,68
129,67
130,67
131,66
132,66
133,65
134,65
135,65
136,64
137,64
138,63
139,63
140,63
141,62
142,62
143,61
144,61
145,61
146,60
147,60
148,59
149,59
150,59
151,58
152,58
153,58
154,57
155,57
156,56
157,55
158,55
159,55
160,55
161,55
162,54
163,54
164,54
165,54
166,53
167,53
168,53
169,53
170,53
171,52
172,52
173,52
174,52
175,52
176,52
177,52
178,52
179,51
180,51
181,51
182,51
183,51
184,51
185,51
186,51
187,51
188,51
189,51
190,52
191,52
192,52
193,52
194,52
195,52
196,52
197,52
198,52
199,52
200,52
201,53
202,53
203,53
204,53
205,53
206,53
207,53
208,53
209,53
210,53
211,53
212,53
213,53
214,53
215,53
216,53
217,53
218,53
219,53
220,52
221,52
222,52
223,52
224,52
225,52
226,52
227,52
228,51
229,51
230,51
231,51
232,51
233,51
234,51
235,51
236,51
237,51
238,51
239,51
240,51
241,51
242,51
243,51
244,51
245,51
246,51
247,51
248,51
249,51
250,51
251,51
252,51
253,51
254,52
255,52
256,52
257,52
258,52
259,52
260,52
261,52
262,53
263,53
264,53
265,53
266,53
267,54
268,54
269,54
270,54
271,54
272,55
273,55
274,55
275,55
276,55
277,55
278,56
279,56
280,56
281,56
282,56
283,56
284,57
285,57
286,57
287,57
288,57
289,57
290,58
291,58
292,58
293,58
294,58
295,58
296,59
297,59
298,59
299,59
300,59
301,59
302,59
303,59
304,60
305,60
306,60
307,60
308,60
309,60
310,60
311,60
312,60
313,61
314,61
315,61
316,61
317,61
318,61
319,61
320,61
321,61
322,61
323,61
324,61
325,62
326,62
327,62
328,62
329,62
330,62
331,62
332,62
333,62
334,62
335,62
336,62
337,62
338,62
339,62
340,62
341,62
342,62
343,62
344,62
345,62
346,62
347,62
348,61
349,61
350,61
351,61
352,61
353,60
354,60
355,60
356,60
357,60
358,59
359,59
360,59
361,59
362,58
363,58
364,58
365,57
366,57
367,57
368,56
369,56
370,56
371,55
372,55
373,55
374,54
375,54
376,54
377,53
378,53
379,53
380,53
381,52
382,52
383,52
384,52
385,51
386,51
387,51
388,51
389,50
390,50
391,50
392,50
393,50
394,50
395,50
396,50
397,50
398,50
399,50
400,50
401,50
402,50
403,50
404,50
405,50
406,50
407,51
408,51
409,51
410,51
411,51
412,51
413,51
414,51
415,52
416,52
417,52
418,52
419,53
420,53
421,53
422,54
423,54
424,54
425,54
426,55
427,55
428,55
429,56
430,56
431,56
432,56
433,57
434,57
435,57
436,58
437,58
438,58
439,58
440,59
441,59
442,59
443,60
444,60
445,60
446,60
447,61
448,61
449,61
450,62
451,62
452,62
453,62
454,63
455,63
456,63
457,63
458,64
459,64
460,64
461,64
462,64
463,65
464,65
465,65
466,65
467,66
468,66
469,66
470,66
471,66
472,67
473,67
474,67
475,67
476,67
477,68
478,68
479,68
480,68
481,69
482,69
483,69
484,69
485,69
486,70
487,70
488,70
489,70
490,70
491,71
492,71
493,71
494,71
495,71
496,71
497,72
498,72
499,72
500,72
501,72
502,72
503,73
504,73
505,73
506,73
507,73
508,74
509,74
510,74
511,74
512,74
513,74
514,75
515,75
516,75
517,75
518,75
519,76
520,76
521,76
522,76
523,76
524,76
525,77
526,77
527,77
528,77
529,77
530,78
531,78
532,78
533,78
534,79
535,79
536,79
537,79
538,79
539,80
540,80
